Tract,Council,OwnDate,LnSalePrice,SalePrice,PropAddr,PropCity,PropZip,PropDate,Acres,LUDesc,FinishArea,NAME10,CoreBin,Quarter,TimeBin,BuildTimeCensus01,Year,PropYear,SaleYear,Age,QuarterByYear,MonthByYear,PopulationTract,PrcntWhite,%Black(onerace),Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,BAorHigher,BuildPreTrt
37019500,19,12/19/01,13.50762714,735000,1101 LAUREL ST,NASHVILLE,37203,2/7/06,0.43,APARTMENT: HIGH RISE (3 STORIES OR GREATER),49123,195,1,"42,001",0,58.42622951,2001,2006,2001,0,4,12,5916,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,7/31/08,14.05845752,1275000,1100 4TH AVE N,NASHVILLE,37208,10/24/08,1.12,APARTMENT: HIGH RISE (3 STORIES OR GREATER),51702,194,0,"32,008",0,160.6721311,2008,2008,2008,0,3,7,3639,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,12/30/13,14.31628645,1650000,162 3RD AVE N,NASHVILLE,37201,11/14/62,0.21,APARTMENT: HIGH RISE (3 STORIES OR GREATER),43575,195,1,"42,013",1,58.42622951,2013,1962,2013,51,4,12,5916,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,12/10/12,15.42993621,5025000,1515 5TH AVE N,NASHVILLE,37208,2/12/13,5.18,APARTMENT: HIGH RISE (3 STORIES OR GREATER),469544,194,0,"42,012",1,160.6721311,2012,2013,2012,0,4,12,3639,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,3/13/19,15.49726932,5375000,212 3RD AVE N,NASHVILLE,37201,6/23/09,0.05,APARTMENT: HIGH RISE (3 STORIES OR GREATER),9416,195,1,"12,019",1,462,2019,1909,2019,110,1,3,5916,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,9/25/12,15.72505321,6750000,1505 DEMONBREUN ST,NASHVILLE,37203,1/18/13,1.53,APARTMENT: HIGH RISE (3 STORIES OR GREATER),308533,195,0,"32,012",1,58.42622951,2012,2013,2012,0,3,9,5916,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37016300,19,9/21/21,15.89495222,8000000,1016 16TH AVE S,NASHVILLE,37212,2/4/00,0.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),11024,163,0,"32,021",1,469,2021,2000,2021,21,3,9,2189,36.38475836,61.29182156,0.29,0.15,0.45,0.11,0.31,7
37016300,19,9/21/21,15.89495222,8000000,1016 16TH AVE S,NASHVILLE,37212,2/4/00,0.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),11024,163,0,"32,021",1,469,2021,2000,2021,21,3,9,2189,36.38475836,61.29182156,0.29,0.15,0.45,0.11,0.31,7
37019500,19,12/9/11,16.02817105,9140000,1055 PINE ST,NASHVILLE,37203,5/8/13,0,APARTMENT: HIGH RISE (3 STORIES OR GREATER),304578,195,1,"42,011",1,58.42622951,2011,2013,2011,0,4,12,5916,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,5/12/16,16.11809575,10000000,600 11TH AVE N,NASHVILLE,37203,6/15/01,3.15,APARTMENT: HIGH RISE (3 STORIES OR GREATER),425839,194,1,"22,016",1,1045,2016,2001,2016,15,2,5,3639,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
