Tract,Council,OwnDate,LnSalePrice,SalePrice,PropAddr,PropCity,PropZip,PropDate,Acres,LUDesc,FinishArea,NAME10,CoreBin,Quarter,TimeBin,BuildTimeCensus01,Year,PropYear,SaleYear,Age,QuarterByYear,MonthByYear,Quarter1,PopulationTract,PrcntWhite,%Black(onerace),Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,BAorHigher,BuildPreTrt
37019500,19,2022-05-12,0.0,0,200 11TH AVE N,NASHVILLE,37203,1953-12-23,4.33,APARTMENT: HIGH RISE (3 STORIES OR GREATER),359626,195.0,1,"2022,2",1,462.0,2022,1953,2022,69,2,5,90,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2022-05-12,0.0,0,200 11TH AVE N,NASHVILLE,37203,1953-12-23,4.33,APARTMENT: HIGH RISE (3 STORIES OR GREATER),359626,195.0,1,"2022,2",1,462.0,2022,1953,2022,69,2,5,90,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2016-11-30,0.0,0,211 UNION ST 1-9,NASHVILLE,37201,1971-06-25,0.36,APARTMENT: HIGH RISE (3 STORIES OR GREATER),189937,195.0,1,"2016,4",1,462.0,2016,1971,2016,45,4,11,68,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,2016-08-03,0.0,0,700 4TH AVE N,NASHVILLE,37219,1972-05-04,0.18,APARTMENT: HIGH RISE (3 STORIES OR GREATER),17163,194.0,1,"2016,3",1,1045.0,2016,1972,2016,44,3,8,67,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2019-12-20,0.0,0,803 DIVISION ST,NASHVILLE,37203,1973-08-01,0.94,APARTMENT: HIGH RISE (3 STORIES OR GREATER),360197,195.0,1,"2019,4",1,462.0,2019,1973,2019,46,4,12,80,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2019-12-16,0.0,0,211 7TH AVE N,NASHVILLE,37219,1978-03-29,0.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),64954,195.0,1,"2019,4",1,462.0,2019,1978,2019,41,4,12,80,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2016-11-30,0.0,0,160 2ND AVE N 101-103,NASHVILLE,37201,1980-01-01,0.41,APARTMENT: HIGH RISE (3 STORIES OR GREATER),60630,195.0,1,"2016,4",1,462.0,2016,1980,2016,36,4,11,68,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2008-04-15,0.0,0,1209 PINE ST,NASHVILLE,37203,2000-07-27,1.78,APARTMENT: HIGH RISE (3 STORIES OR GREATER),74786,195.0,1,"2008,2",0,58.42622950819673,2008,2000,2008,8,2,4,34,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2005-04-05,0.0,0,555 CHURCH ST,NASHVILLE,37219,2005-04-05,0.0,APARTMENT: HIGH RISE (3 STORIES OR GREATER),206568,195.0,1,"2005,2",0,58.42622950819673,2005,2005,2005,0,2,4,22,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2004-08-31,0.0,0,4 ACADEMY PL,NASHVILLE,37210,2007-01-29,1.8,APARTMENT: HIGH RISE (3 STORIES OR GREATER),0,195.0,1,"2004,3",0,58.42622950819673,2004,2007,2004,0,3,8,19,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2004-08-31,0.0,0,8 ACADEMY PL,NASHVILLE,37210,2009-12-15,1.26,APARTMENT: HIGH RISE (3 STORIES OR GREATER),141032,195.0,1,"2004,3",0,58.42622950819673,2004,2009,2004,0,3,8,19,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,2018-10-26,0.0,0,909 ROSA L PARKS BLVD,NASHVILLE,37208,2013-11-12,2.17,APARTMENT: HIGH RISE (3 STORIES OR GREATER),381662,194.0,1,"2018,4",1,1045.0,2018,2013,2018,5,4,10,76,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019400,19,2018-10-26,0.0,0,909 ROSA L PARKS BLVD,NASHVILLE,37208,2013-11-12,2.17,APARTMENT: HIGH RISE (3 STORIES OR GREATER),381662,194.0,1,"2018,4",1,1045.0,2018,2013,2018,5,4,10,76,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2004-08-31,0.0,0,115 MIDDLETON ST,NASHVILLE,37210,2014-04-28,2.94,APARTMENT: HIGH RISE (3 STORIES OR GREATER),345300,195.0,1,"2004,3",0,58.42622950819673,2004,2014,2004,0,3,8,19,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,2015-10-20,0.0,0,941 JEFFERSON ST,NASHVILLE,37208,2015-08-27,0.72,APARTMENT: HIGH RISE (3 STORIES OR GREATER),74521,194.0,1,"2015,4",1,1045.0,2015,2015,2015,0,4,10,64,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2015-12-15,0.0,0,100 MIDDLETON ST,NASHVILLE,37210,2017-09-25,1.68,APARTMENT: HIGH RISE (3 STORIES OR GREATER),57308,195.0,1,"2015,4",1,462.0,2015,2017,2015,0,4,12,64,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,2016-12-01,0.0,0,406 11TH AVE N,NASHVILLE,37203,2017-05-01,4.83,APARTMENT: HIGH RISE (3 STORIES OR GREATER),902232,194.0,1,"2016,4",1,1045.0,2016,2017,2016,0,4,12,68,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019400,19,2016-12-01,0.0,0,406 11TH AVE N,NASHVILLE,37203,2017-05-01,4.83,APARTMENT: HIGH RISE (3 STORIES OR GREATER),902232,194.0,1,"2016,4",1,1045.0,2016,2017,2016,0,4,12,68,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2020-09-03,0.0,0,723 PRESIDENT RONALD REAGAN WAY,NASHVILLE,37210,2018-04-13,0.51,APARTMENT: HIGH RISE (3 STORIES OR GREATER),128968,195.0,1,"2020,3",1,462.0,2020,2018,2020,2,3,9,83,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2020-09-03,0.0,0,723 PRESIDENT RONALD REAGAN WAY,NASHVILLE,37210,2018-04-13,0.51,APARTMENT: HIGH RISE (3 STORIES OR GREATER),128968,195.0,1,"2020,3",1,462.0,2020,2018,2020,2,3,9,83,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2018-06-29,0.0,0,805 LEA AVE,NASHVILLE,37203,2019-05-07,0.69,APARTMENT: HIGH RISE (3 STORIES OR GREATER),516378,195.0,1,"2018,2",1,462.0,2018,2019,2018,0,2,6,74,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2019-08-30,0.0,0,530 6TH AVE S,NASHVILLE,37203,2019-05-03,1.32,APARTMENT: HIGH RISE (3 STORIES OR GREATER),418818,195.0,1,"2019,3",1,462.0,2019,2019,2019,0,3,8,79,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2020-09-03,0.0,0,700 3RD AVE S,NASHVILLE,37210,2019-06-10,0.95,APARTMENT: HIGH RISE (3 STORIES OR GREATER),243306,195.0,1,"2020,3",1,462.0,2020,2019,2020,1,3,9,83,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2017-08-30,0.0,0,1200 BROADWAY,NASHVILLE,37203,2020-05-04,0.0,APARTMENT: HIGH RISE (3 STORIES OR GREATER),392139,195.0,1,"2017,3",1,462.0,2017,2020,2017,0,3,8,71,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2019-11-25,0.0,0,900 CHURCH ST,NASHVILLE,37203,2020-04-08,0.31,APARTMENT: HIGH RISE (3 STORIES OR GREATER),376920,195.0,1,"2019,4",1,462.0,2019,2020,2019,0,4,11,80,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2017-12-15,0.0,0,505 CHURCH ST,NASHVILLE,37219,2022-07-29,0.0,APARTMENT: HIGH RISE (3 STORIES OR GREATER),463246,195.0,1,"2017,4",1,462.0,2017,2022,2017,0,4,12,72,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37016400,19,2011-06-08,0.0,0,1016 18TH AVE S,NASHVILLE,37212,1952-12-22,0.52,APARTMENT: HIGH RISE (3 STORIES OR GREATER),52250,164.0,0,"2011,2",1,109.0,2011,1952,2011,59,2,6,46,4402.0,84.3836886,6.394810009,0,0.18,0.71,0.11,0.61,14
